0,1,2,3,4,5,6,7,8,9
" Saturday, August 26",Spread,% Handle,% Bets,Total,% Handle,% Bets,Moneyline,% Handle,% Bets
 FIU Louisiana Tech,+10.5-10.5,84%16%,43%57%,--,0%0%,0%0%,--,0%0%,0%0%
 Massachusetts New Mexico ST,+10-10,92%8%,35%65%,--,0%0%,0%0%,--,0%0%,0%0%
 Navy Notre Dame,+21-21,92%8%,44%56%,--,0%0%,0%0%,--,0%0%,0%0%
 Ohio San Diego ST,+5.5-5.5,91%9%,18%82%,--,0%0%,0%0%,--,0%0%,0%0%
 San Jose ST USC,+29.5-29.5,4%96%,16%84%,--,0%0%,0%0%,--,0%0%,0%0%
 Hawaii Vanderbilt,+18.5-18.5,4%96%,22%78%,--,0%0%,0%0%,--,0%0%,0%0%
 UTEP Jacksonville ST,+1.5-1.5,89%11%,76%24%,--,0%0%,0%0%,--,0%0%,0%0%
" Thursday, August 31",Spread,% Handle,% Bets,Total,% Handle,% Bets,Moneyline,% Handle,% Bets
 Kent ST UCF,+31.5-31.5,5%95%,57%43%,--,0%0%,0%0%,--,0%0%,0%0%
 Nebraska Minnesota,+7.5-7.5,80%20%,70%30%,--,0%0%,0%0%,--,0%0%,0%0%
 Florida Utah,+9.5-9.5,63%37%,54%46%,--,0%0%,0%0%,--,0%0%,0%0%
" Friday, September 1",Spread,% Handle,% Bets,Total,% Handle,% Bets,Moneyline,% Handle,% Bets
 Louisville Georgia Tech,-8.5+8.5,41%59%,67%33%,--,0%0%,0%0%,--,0%0%,0%0%
 Stanford Hawaii,-10.5+10.5,22%78%,67%33%,--,0%0%,0%0%,--,0%0%,0%0%
 Miami OH Miami FL,+17.5-17.5,3%97%,21%79%,--,0%0%,0%0%,--,0%0%,0%0%
" Saturday, September 2",Spread,% Handle,% Bets,Total,% Handle,% Bets,Moneyline,% Handle,% Bets
 Middle Tennessee Alabama,+37-37,7%93%,14%86%,--,0%0%,0%0%,--,0%0%,0%0%
 Massachusetts Auburn,+39.5-39.5,8%92%,44%56%,--,0%0%,0%0%,--,0%0%,0%0%
 Texas ST Baylor,+24-24,94%6%,45%55%,--,0%0%,0%0%,--,0%0%,0%0%
 Northern Illinois Boston College,+9.5-9.5,0%100%,8%92%,--,0%0%,0%0%,--,0%0%,0%0%
 Washington ST Colorado ST,-16+16,46%54%,70%30%,--,0%0%,0%0%,--,0%0%,0%0%
 Toledo Illinois,+10.5-10.5,3%97%,14%86%,--,0%0%,0%0%,--,0%0%,0%0%
 Ohio ST Indiana,-28+28,54%46%,56%44%,--,0%0%,0%0%,--,0%0%,0%0%
 Utah ST Iowa,+20.5-20.5,2%98%,42%58%,--,0%0%,0%0%,--,0%0%,0%0%
 Ball ST Kentucky,+26.5-26.5,74%26%,65%35%,--,0%0%,0%0%,--,0%0%,0%0%
 Army West Point ULM,-7.5-,100%0%,100%0%,--,0%0%,0%0%,--,0%0%,0%0%
 East Carolina Michigan,+36.5-36.5,21%79%,38%62%,--,0%0%,0%0%,--,0%0%,0%0%
 South Carolina North Carolina,+1.5-1.5,83%17%,58%42%,--,0%0%,0%0%,--,0%0%,0%0%
 California North Texas,-7.5+7,100%0%,95%5%,--,0%0%,0%0%,--,0%0%,0%0%
 West Virginia Penn ST,+18.5-18.5,45%55%,57%43%,--,0%0%,0%0%,--,0%0%,0%0%
 Fresno ST Purdue,+6.5-6.5,4%96%,15%85%,--,0%0%,0%0%,--,0%0%,0%0%
 Louisiana Tech SMU,+15.5-14.5,89%11%,11%89%,--,0%0%,0%0%,--,0%0%,0%0%
 Colorado TCU,+21-21,73%27%,75%25%,--,0%0%,0%0%,--,0%0%,0%0%
 Virginia Tennessee,+27-27,13%87%,39%61%,--,0%0%,0%0%,--,0%0%,0%0%
 Rice Texas,+34.5-34.5,5%95%,20%80%,--,0%0%,0%0%,--,0%0%,0%0%
 New Mexico Texas A&M,+37.5-37.5,81%19%,48%52%,--,0%0%,0%0%,--,0%0%,0%0%
 Coastal Carolina UCLA,+15.5-15.5,23%77%,18%82%,--,0%0%,0%0%,--,0%0%,0%0%
 Old Dominion Virginia Tech,+14-14,0%100%,8%92%,--,0%0%,0%0%,--,0%0%,0%0%
 Boise ST Washington,+14.5-14.5,26%74%,22%78%,--,0%0%,0%0%,--,0%0%,0%0%
 Buffalo Wisconsin,+22.5-23,1%99%,13%87%,--,0%0%,0%0%,--,0%0%,0%0%
 Texas Tech Wyoming,-14+14,8%92%,57%43%,--,0%0%,0%0%,--,0%0%,0%0%
 South Florida Western Kentucky,+13-13,100%0%,83%17%,--,0%0%,0%0%,--,0%0%,0%0%
 Bowling Green Liberty,+12.5-12.5,98%2%,44%56%,--,0%0%,0%0%,--,0%0%,0%0%
" Sunday, September 3",Spread,% Handle,% Bets,Total,% Handle,% Bets,Moneyline,% Handle,% Bets
 LSU Florida ST,-2+2,92%8%,83%17%,--,0%0%,0%0%,--,0%0%,0%0%
 Oregon ST San Jose ST,-16+16,100%0%,57%43%,--,0%0%,0%0%,--,0%0%,0%0%
" Monday, September 4",Spread,% Handle,% Bets,Total,% Handle,% Bets,Moneyline,% Handle,% Bets
 Clemson Duke,-11+11,98%2%,93%7%,--,0%0%,0%0%,--,0%0%,0%0%
" Saturday, September 9",Spread,% Handle,% Bets,Total,% Handle,% Bets,Moneyline,% Handle,% Bets
 Texas Alabama,+7-7,81%19%,49%51%,--,0%0%,0%0%,--,0%0%,0%0%
 Texas A&M Miami FL,-6.5+6.5,92%8%,78%22%,--,0%0%,0%0%,--,0%0%,0%0%
" Saturday, September 16",Spread,% Handle,% Bets,Total,% Handle,% Bets,Moneyline,% Handle,% Bets
 Tennessee Florida,-7.5+7.5,51%49%,71%29%,--,0%0%,0%0%,--,0%0%,0%0%
 South Carolina Georgia Bulldogs,+24-24,72%28%,52%48%,--,0%0%,0%0%,--,0%0%,0%0%
 Washington Michigan ST,-11+11,97%3%,83%17%,--,0%0%,0%0%,--,0%0%,0%0%
 LSU Mississippi ST,-9+9,82%18%,79%21%,--,0%0%,0%0%,--,0%0%,0%0%
