gameID,sport,game_time,team1,team1_pred,team2,team2_pred,lastMod_ESPNpred,lastMod_ESPNsch,A_espn_current_streak,A_espn_home_streak,A_espn_away_streak,A_espn_avg_pt_for,A_espn_avg_pt_ag,H_espn_current_streak,H_espn_home_streak,H_espn_away_streak,H_espn_avg_pt_for,H_espn_avg_pt_ag,away_team_clean,home_team_clean,DC_Game_ID
668488,soccer,6/29/2023 17:00,Haiti,,Mexico,,6/29/2023 1:01,6/29/2023 1:03,,,,,,,,,,,,,
667885,soccer,6/29/2023 13:00,Colo Colo,,Deportivo Pereira,,6/29/2023 1:01,6/29/2023 1:03,,,,,,,,,,,,,
668487,soccer,6/29/2023 14:45,Qatar,,Honduras,,6/29/2023 1:01,6/29/2023 1:03,,,,,,,,,,,,,
667980,soccer,6/29/2023 13:00,Newell's Old Boys,,Audax Italiano,,6/29/2023 1:01,6/29/2023 1:03,,,,,,,,,,,,,
669773,soccer,6/29/2023 10:00,Spain,,Panama,,6/29/2023 1:01,6/29/2023 1:03,,,,,,,,,,,,,
667888,soccer,6/29/2023 15:00,Palmeiras,,Bolívar,,6/29/2023 1:01,6/29/2023 1:03,,,,,,,,,,,,,
667982,soccer,6/29/2023 15:00,Defensa y Justicia,,Millonarios,,6/29/2023 1:01,6/29/2023 1:03,,,,,,,,,,,,,
667984,soccer,6/29/2023 15:00,Peñarol,,América-MG,,6/29/2023 1:01,6/29/2023 1:03,,,,,,,,,,,,,
668240,soccer,6/29/2023 2:35,Shandong Taishan,,Changchun Yatai,,6/29/2023 1:01,6/29/2023 1:03,,,,,,,,,,,,,
667983,soccer,6/29/2023 15:00,Liga de Quito,,César Vallejo,,6/29/2023 1:01,6/29/2023 1:03,,,,,,,,,,,,,
667887,soccer,6/29/2023 15:00,Barcelona SC,,Cerro Porteño,,6/29/2023 1:01,6/29/2023 1:03,,,,,,,,,,,,,
667886,soccer,6/29/2023 13:00,Boca Juniors,,Monagas SC,,6/29/2023 1:01,6/29/2023 1:03,,,,,,,,,,,,,
667981,soccer,6/29/2023 15:00,Botafogo,,Magallanes,,6/29/2023 1:01,6/29/2023 1:03,,,,,,,,,,,,,
668242,soccer,6/29/2023 2:35,Shenzhen FC,,Chengdu Rongcheng,,6/29/2023 1:01,6/29/2023 1:03,,,,,,,,,,,,,
667979,soccer,6/29/2023 13:00,Santos,,Blooming,,6/29/2023 1:01,6/29/2023 1:03,,,,,,,,,,,,,
668241,soccer,6/29/2023 2:35,Beijing Guoan,,Shanghai Port,,6/29/2023 1:01,6/29/2023 1:03,,,,,,,,,,,,,
401547407,nfl,9/10/2023 11:25,Green Bay Packers,47.20%,Chicago Bears,52.40%,6/29/2023 1:01,6/29/2023 1:03,,,,,,,,,,,Green Bay Packers,Chicago Bears,09102023-Green Bay Packers-Chicago Bears
401547401,nfl,9/10/2023 11:25,Miami Dolphins,44.10%,Los Angeles Chargers,55.60%,6/29/2023 1:01,6/29/2023 1:03,,,,,,,,,,,Miami Dolphins,Los Angeles Chargers,09102023-Miami Dolphins-Los Angeles Chargers
401547400,nfl,9/10/2023 11:25,Las Vegas Raiders,44.70%,Denver Broncos,55.00%,6/29/2023 1:01,6/29/2023 1:03,,,,,,,,,,,Las Vegas Raiders,Denver Broncos,09102023-Las Vegas Raiders-Denver Broncos
401547409,nfl,9/10/2023 15:20,Dallas Cowboys,53.00%,New York Giants,46.60%,6/29/2023 1:01,6/29/2023 1:03,,,,,,,,,,,Dallas Cowboys,New York Giants,09102023-Dallas Cowboys-New York Giants
401547353,nfl,9/7/2023 15:20,Detroit Lions,33.50%,Kansas City Chiefs,66.20%,6/29/2023 1:01,6/29/2023 1:03,,,,,,,,,,,Detroit Lions,Kansas City Chiefs,09072023-Detroit Lions-Kansas City Chiefs
