0,1,2,3,4,5,6,7,8,9
" Thursday, June 1",Run Line,% Handle,% Bets,Total,% Handle,% Bets,Moneyline,% Handle,% Bets
 MIL Brewers TOR Blue Jays,+1.5-1.5,28%  72%,27%73%,Ov 8Un 8,46%  54%,56%44%,+155-180,14%86%  ,25%75%  
 SD Padres MIA Marlins,-1.5+1.5,58%42%  ,46%54%  ,Ov 7.5Un 7.5,35%  65%,50%50%,-120+100,69%31%  ,59%  41%
 PHI Phillies NY Mets,+1.5-1.5,16%  84%,25%75%,Ov 8.5Un 8.5,39%  61%,51%49%,+160-190,25%75%,27%73%
 COL Rockies ARI DBacks,+1.5-1.5,39%61%,38%62%,Ov 9.5Un 9.5,74%  26%,69%  31%,+145-170,72%28%,34%66%
 CIN Reds BOS Red Sox,+1.5-1.5,36%64%  ,38%62%,Ov 9.5Un 9.5,65%  35%,49%51%,+145-170,23%  77%,34%66%
 CLE Guardians MIN Twins,+1.5-1.5,55%  45%,47%53%,Ov 8Un 8,58%42%  ,54%46%,+120-140,48%  52%,45%55%
 LA Angels HOU Astros,+1.5-1.5,36%  64%,29%71%,Ov 9Un 9,83%  17%,72%28%,+125-145,34%  66%,30%70%
" Friday, June 2",Run Line,% Handle,% Bets,Total,% Handle,% Bets,Moneyline,% Handle,% Bets
 MIL Brewers CIN Reds,-1.5+1.5,50%50%,50%50%,Ov 9.5Un 9.5,68%32%,52%48%,-180+155,65%35%,67%33%
 OAK Athletics MIA Marlins,+1.5-1.5,7%93%,10%90%  ,Ov 8.5Un 8.5,67%33%,53%47%,+170-200,9%91%,13%87%
 PHI Phillies WAS Nationals,-1.5+1.5,68%32%  ,55%45%,Ov 8.5Un 8.5,55%45%  ,51%49%,-175+150,69%  31%,73%  27%
 STL Cardinals PIT Pirates,-1.5+1.5,73%27%,39%61%,Ov 9Un 9,97%3%,68%32%  ,-130+110,57%43%,51%49%
 TB Rays BOS Red Sox,-1.5+1.5,60%40%,64%36%,Ov 9.5Un 9.5,89%11%,65%35%  ,-130+110,80%20%,71%29%
 TOR Blue Jays NY Mets,+1.5-1.5,32%  68%,55%45%,Ov 8.5Un 8.5,51%49%  ,52%48%,+115-135,33%  67%,42%58%
 SEA Mariners TEX Rangers,-1.5+1.5,46%54%  ,21%79%,Ov 8.5Un 8.5,14%86%,42%58%,-120+100,29%71%,39%  61%
 COL Rockies KC Royals,-1.5+1.5,75%25%,48%52%,Ov 9Un 9,86%14%,70%30%,+100-120,85%15%,65%35%
 CLE Guardians MIN Twins,+1.5-1.5,20%80%,48%52%,Ov 8.5Un 8.5,30%70%,55%45%,+115-135,35%65%,34%66%
 LA Angels HOU Astros,+1.5-1.5,47%53%,67%33%,Ov 7.5Un 7.5,61%39%,68%32%,+110-130,74%26%,54%46%
 ATL Braves ARI DBacks,-1.5+1.5,41%59%,49%51%  ,Ov 9Un 9,86%14%,56%  44%,-125+105,52%48%,64%36%
 CHI Cubs SD Padres,+1.5-1.5,3%97%,22%78%,Ov 8.5Un 8.5,87%13%,61%39%,+140-165,7%93%,21%79%  
 NY Yankees LA Dodgers,+1.5-1.5,61%39%,57%43%,Ov 8.5Un 8.5,54%46%,50%50%,+120-140,52%48%,39%61%
 BAL Orioles SF Giants,+1.5-1.5,62%38%,69%31%,Ov 7.5Un 7.5,30%  70%,73%27%,+135-155,40%60%,49%51%
