0,1,2,3,4,5,6,7,8,9
" Thursday, September 7",Spread,% Handle,% Bets,Total,% Handle,% Bets,Moneyline,% Handle,% Bets
 DET Lions KC Chiefs,+6.5-6.5,56%44%,50%50%,Ov 53.5Un 53.5,72%28%,64%36%,+225-265,42%58%,20%80%
" Sunday, September 10",Spread,% Handle,% Bets,Total,% Handle,% Bets,Moneyline,% Handle,% Bets
 HOU Texans BAL Ravens,+9.5-9.5,23%77%,43%57%,Ov 45.5Un 45.5,22%78%,38%62%,+330-410,7%93%,8%92%
 CIN Bengals CLE Browns,-2.5+2.5,76%24%,81%19%,Ov 47Un 47,56%44%,51%49%,-130+110,77%23%,78%22%
 SF 49ers PIT Steelers,-3+3,37%63%,60%40%,Ov 42Un 42,21%79%,46%54%,-145+125,65%35%,73%27%
 JAX Jaguars IND Colts,-3.5+3.5,77%23%,76%24%,Ov 43.5Un 43.5,55%45%,62%38%,-175+150,81%19%,81%19%
 ARI Cardinals WAS Commanders,+6-6,26%74%,60%40%,Ov 40.5Un 40.5,50%50%,60%40%,+195-230,11%89%,31%69%
 TB Buccaneers MIN Vikings,+6.5-6.5,69%31%,34%66%,Ov 46.5Un 46.5,26%74%,36%64%,+225-265,37%63%,10%90%
 CAR Panthers ATL Falcons,+2.5-2.5,15%85%,53%47%,Ov 43.5Un 43.5,13%87%,39%61%,+130-150,28%72%,52%48%
 TEN Titans NO Saints,+3.5-3.5,53%47%,51%49%,Ov 42Un 42,48%52%,53%47%,+150-175,42%58%,34%66%
 PHI Eagles NE Patriots,-4.5+4.5,69%31%,79%21%,Ov 46Un 46,36%64%,55%45%,-200+170,52%48%,89%11%
 LV Raiders DEN Broncos,+3.5-3.5,32%68%,51%49%,Ov 45Un 45,43%57%,29%71%,+150-175,34%66%,34%66%
 MIA Dolphins LA Chargers,+2.5-2.5,48%52%,60%40%,Ov 49.5Un 49.5,77%23%,69%31%,+115-135,74%26%,56%44%
 DAL Cowboys NY Giants,-3+3,71%29%,63%37%,Ov 47Un 47,16%84%,45%55%,-150+130,77%23%,65%35%
 GB Packers CHI Bears,+2.5-2.5,20%80%,20%80%,Ov 44Un 44,61%39%,47%53%,+120-140,33%67%,28%72%
 LA Rams SEA Seahawks,+5.5-5.5,27%73%,56%44%,Ov 46.5Un 46.5,35%65%,49%51%,+200-240,35%65%,28%72%
" Monday, September 11",Spread,% Handle,% Bets,Total,% Handle,% Bets,Moneyline,% Handle,% Bets
 BUF Bills NY Jets,-1.5+1.5,45%55%,73%27%,Ov 48Un 48,17%83%,54%46%,-120+100,56%44%,65%35%
" Thursday, September 14",Spread,% Handle,% Bets,Total,% Handle,% Bets,Moneyline,% Handle,% Bets
 MIN Vikings PHI Eagles,+6-6,1%99%,23%77%,--,0%0%,0%0%,+210-250,26%74%,13%87%
" Sunday, September 17",Spread,% Handle,% Bets,Total,% Handle,% Bets,Moneyline,% Handle,% Bets
 LV Raiders BUF Bills,+8-8,12%88%,40%60%,--,0%0%,0%0%,+295-360,49%51%,8%92%
 BAL Ravens CIN Bengals,+3.5-3.5,97%3%,65%35%,--,0%0%,0%0%,+155-180,63%37%,44%56%
 IND Colts HOU Texans,+1-,100%0%,100%0%,--,0%0%,0%0%,--,0%0%,0%0%
 KC Chiefs JAX Jaguars,-3+3,82%18%,83%17%,--,0%0%,0%0%,-150+130,78%22%,88%12%
 LA Chargers TEN Titans,-3.5+3.5,19%81%,53%47%,--,0%0%,0%0%,-180+155,82%18%,85%15%
 SEA Seahawks DET Lions,+2-2,1%99%,19%81%,--,0%0%,0%0%,+110-130,20%80%,47%53%
 GB Packers ATL Falcons,-1+1,19%81%,45%55%,--,0%0%,0%0%,-115-105,6%94%,58%42%
 CHI Bears TB Buccaneers,-1.5+1.5,99%1%,94%6%,--,0%0%,0%0%,-120+100,99%1%,79%21%
 NY Giants ARI Cardinals,-4+4,99%1%,76%24%,--,0%0%,0%0%,-195+165,91%9%,90%10%
 SF 49ers LA Rams,-4.5+4.5,99%1%,80%20%,--,0%0%,0%0%,-205+175,100%0%,93%7%
 WAS Commanders DEN Broncos,+3.5-3.5,8%92%,28%72%,--,0%0%,0%0%,+145-170,4%96%,18%82%
 NY Jets DAL Cowboys,+2-2,2%98%,33%67%,--,0%0%,0%0%,+105-125,9%91%,57%43%
 MIA Dolphins NE Patriots,-1+1,73%27%,75%25%,--,0%0%,0%0%,-115-105,98%2%,80%20%
" Monday, September 18",Spread,% Handle,% Bets,Total,% Handle,% Bets,Moneyline,% Handle,% Bets
 NO Saints CAR Panthers,+1-1,16%84%,80%20%,--,0%0%,0%0%,-115-105,65%35%,67%33%
 CLE Browns PIT Steelers,+1-1,10%90%,29%71%,--,0%0%,0%0%,-105-115,8%92%,24%76%
