gameID,sport,game_time,team1,team1_pred,team2,team2_pred,lastMod_ESPNpred,away_team_clean,home_team_clean,DC_Game_ID
401547408,nfl,2023-09-10 11:25:00,Los Angeles Rams,40.5%,Seattle Seahawks,59.2%,07/09/2023 10:26:21 PM,Los Angeles Rams,Seattle Seahawks,09102023-Los Angeles Rams-Seattle Seahawks
401547396,nfl,2023-09-10 08:00:00,Houston Texans,25.3%,Baltimore Ravens,74.5%,07/09/2023 10:26:22 PM,Houston Texans,Baltimore Ravens,09102023-Houston Texans-Baltimore Ravens
401547353,nfl,2023-09-07 15:20:00,Detroit Lions,33.5%,Kansas City Chiefs,66.2%,07/09/2023 10:26:22 PM,Detroit Lions,Kansas City Chiefs,09072023-Detroit Lions-Kansas City Chiefs
401547398,nfl,2023-09-10 08:00:00,Tampa Bay Buccaneers,30.3%,Minnesota Vikings,69.5%,07/09/2023 10:26:22 PM,Tampa Bay Buccaneers,Minnesota Vikings,09102023-Tampa Bay Buccaneers-Minnesota Vikings
401547409,nfl,2023-09-10 15:20:00,Dallas Cowboys,53.0%,New York Giants,46.6%,07/09/2023 10:26:23 PM,Dallas Cowboys,New York Giants,09102023-Dallas Cowboys-New York Giants
401547406,nfl,2023-09-10 08:00:00,Arizona Cardinals,35.6%,Washington Commanders,64.1%,07/09/2023 10:26:23 PM,Arizona Cardinals,Washington Commanders,09102023-Arizona Cardinals-Washington Commanders
401547403,nfl,2023-09-10 08:00:00,Carolina Panthers,47.2%,Atlanta Falcons,52.4%,07/09/2023 10:26:23 PM,Carolina Panthers,Atlanta Falcons,09102023-Carolina Panthers-Atlanta Falcons
401547352,nfl,2023-09-11 15:15:00,Buffalo Bills,55.7%,New York Jets,43.9%,07/09/2023 10:26:24 PM,Buffalo Bills,New York Jets,09112023-Buffalo Bills-New York Jets
401547407,nfl,2023-09-10 11:25:00,Green Bay Packers,47.2%,Chicago Bears,52.4%,07/09/2023 10:26:24 PM,Green Bay Packers,Chicago Bears,09102023-Green Bay Packers-Chicago Bears
401547404,nfl,2023-09-10 08:00:00,Jacksonville Jaguars,65.2%,Indianapolis Colts,34.6%,07/09/2023 10:26:25 PM,Jacksonville Jaguars,Indianapolis Colts,09102023-Jacksonville Jaguars-Indianapolis Colts
401547399,nfl,2023-09-10 08:00:00,Tennessee Titans,43.4%,New Orleans Saints,56.3%,07/09/2023 10:26:25 PM,Tennessee Titans,New Orleans Saints,09102023-Tennessee Titans-New Orleans Saints
