Sport,Bovada Names,VSIN Names,Final Names
SOCC,AC Milan,AC Milan,AC Milan
TABL,Adam Sivera,,
TABL,Adam Vitasek,,
TABL,Adolf Sejstal,,
FOOT,AFC Conference,,
TABL,Ales Hlawatschke,,
TABL,Ales Krejci,,
TABL,Ales Novak,,
TABL,Ales Rusnak,,
SOCC,Almería,Almeria,Almeria
TABL,Alois Kanak,,
FOOT,Arizona Cardinals,ARI Cardinals,Arizona Cardinals
BASE,Arizona Diamondbacks,ARI DBacks,Arizona Diamondbacks
SOCC,Arsenal,Arsenal,Arsenal
SOCC,AS Roma,AS Roma,AS Roma
SOCC,Aston Villa,Aston Villa,Aston Villa
SOCC,Atalanta,Atalanta,Atalanta
SOCC,Athletic Bilbao,Athletic Bilbao,Athletic Bilbao
SOCC,Atlético Madrid,Atletico Madrid,Atletico Madrid
BASE,Atlanta Braves,ATL Braves,Atlanta Braves
FOOT,Atlanta Falcons,ATL Falcons,Atlanta Falcons
BASE,Baltimore Orioles,BAL Orioles,Baltimore Orioles
FOOT,Baltimore Ravens,BAL Ravens,Baltimore Ravens
ESPT,Bilibili Gaming Junior,,
ESPT,BLG,,
TABL,Bohumil Vozicky,,
SOCC,Bologna,Bologna,Bologna
TABL,Borek Moravec,,
BASK,Boston Celtics,BOS Celtics,Boston Celtics
SOCC,Bournemouth,Bournemouth,Bournemouth
SOCC,Brentford,Brentford,Brentford
SOCC,Brighton & Hove Albion,Brighton,Brighton
TABL,Bronislav Roubal,,
FOOT,Buffalo Bills,BUF Bills,Buffalo Bills
SOCC,Cádiz,Cadiz,Cadiz
HCKY,Carolina Hurricanes,CAR Hurricanes,Carolina Hurricanes
FOOT,Carolina Panthers,CAR Panthers,Carolina Panthers
SOCC,Celta de Vigo,Celta Vigo,Celta Vigo
SOCC,Chelsea,Chelsea,Chelsea
FOOT,Chicago Bears,CHI Bears,Chicago Bears
BASE,Chicago White Sox,CHI White Sox,Chicago White Sox
FOOT,Cincinnati Bengals,CIN Bengals,Cincinnati Bengals
BASE,Cincinnati Reds,CIN Reds,Cincinnati Reds
FOOT,Cleveland Browns,CLE Browns,Cleveland Browns
SOCC,Cremonese,Cremonese,Cremonese
SOCC,Crystal Palace,Crystal Palace,Crystal Palace
FOOT,Dallas Cowboys,DAL Cowboys,Dallas Cowboys
HCKY,Dallas Stars,DAL Stars,Dallas Stars
TABL,Daniel Tuma,,
TABL,David Stepanek,,
TABL,David Szotek,,
FOOT,Denver Broncos,DEN Broncos,Denver Broncos
BASK,Denver Nuggets,DEN Nuggets,Denver Nuggets
FOOT,Detroit Lions,DET Lions,Detroit Lions
BASE,Detroit Tigers,DET Tigers,Detroit Tigeres
TABL,Dominik Kuzma,,
TABL,Dominik Lengal,,
TABL,Dusan Stusek,,
TABL,Eduard Sionkala,,
SOCC,Elche,Elche,Elche
SOCC,Empoli,Empoli,Empoli
SOCC,Espanyol,Espanyol,Espanyol
SOCC,Everton,Everton,Everton
SOCC,FC Barcelona,Barcelona,Barcelona
TABL,Filip Sikora,,
TABL,Filip Theodor,,
SOCC,Fiorentina,Fiorentina,Fiorentina
HCKY,Florida Panthers,FLA Panthers,Florida Panthers
TABL,Frantisek Briza,,
TABL,Frantisek Just,,
TABL,Frantisek Kanta,,
TABL,Frantisek Trojan,,
SOCC,Fulham,Fulham,Fulham
SOCC,Getafe,Getafe,Getafe
SOCC,Girona,Girona,Girona
FOOT,Green Bay Packers,GB Packers,Green Bay Packers
SOCC,Hellas Verona,Verona,Verona
BASE,Houston Astros,HOU Astros,Houston Astros
FOOT,Houston Texans,HOU Texans,Houston Texans
FOOT,Indianapolis Colts,IND Colts,Indianapolis Colts
SOCC,Inter Milan,Inter Milan,Inter Milan
ESPT,Invictus Gaming Young,,
FOOT,Jacksonville Jaguars,JAX Jaguars,Jacksonville Jaguars
TABL,Jan Benes Jnr,,
TABL,Jan Briska,,
TABL,Jan Cernoch,,
TABL,Jan Dzida,,
TABL,Jan Herold,,
TABL,Jan Jablonovsky,,
TABL,Jan Pleskot,,
TABL,Jan Steffan,,
TABL,Jan Varcl Jnr,,
TABL,Jaromir Cernik,,
TABL,Jaromir Kanok,,
TABL,Jaromir Kriz,,
TABL,Jaroslav Novotny,,
TABL,Jaroslav Prokupek,,
TABL,Jaroslav Strnad,,
TABL,Jiri Louda,,
TABL,Jiri Machart,,
TABL,Jiri Moravek,,
TABL,Jiri Plachy,,
TABL,Jiri Ruzicka,,
TABL,Jiri Zuzanek,,
TABL,Josef Belovsky,,
TABL,Josef Grill,,
TABL,Josef Koutnik,,
SOCC,Juventus,Juventus,Juventus
TABL,Kamil Kleprlik,,
TABL,Kamil Novak,,
FOOT,Kansas City Chiefs,KC Chiefs,Kansas City Chiefs
BASE,Kansas City Royals,KC Royals,Kansas City Royals
TABL,Ladislav Janousek,,
TABL,Ladislav Vosyka,,
TABL,Ladislav Zatecka,,
FOOT,Las Vegas Raiders,LV Raiders,Las Vegas Raiders
SOCC,Lazio,Lazio,Lazio
SOCC,Lecce,Lecce,Lecce
SOCC,Leeds United,Leeds,Leeds United
SOCC,Leicester City,Leicester,Leicester City
SOCC,Liverpool,Liverpool,Liverpool
FOOT,Los Angeles Chargers,LA Chargers,Los Angeles Chargers
BASE,Los Angeles Dodgers,LA Dodgers,Los Angeles Dodgers
BASK,Los Angeles Lakers,LA Lakers,Los Angeles Lakers
FOOT,Los Angeles Rams,LA Rams,Los Angeles Rams
TABL,Ludek Madle,,
TABL,Lukas Malek,,
TABL,Lukas Rygl,,
TABL,Lukas Tonar,,
SOCC,Mallorca,Mallorca,Mallorca
SOCC,Manchester City,Man City,Manchester City
SOCC,Manchester United,Man Utd,Manchester United
TABL,Martin Bittner,,
TABL,Martin Cvecek,,
TABL,Martin Huk,,
TABL,Martin Kucera,,
TABL,Martin Sochor,,
TABL,Martin Stefek,,
TABL,Martin Tacinec,,
TABL,Matej Mazurek,,
FOOT,Miami Dolphins,MIA Dolphins,Miami Dolphins
BASK,Miami Heat,MIA Heat,Miami Heat
BASE,Miami Marlins,MIA Marlins,Miami Marlins
ESPT,Miao Jing,,
TABL,Michael Sedlacek,,
TABL,Michal Moravec,,
TABL,Mihail Trinta,,
TABL,Mikulas Leopold,,
TABL,Milan Bezdicek,,
TABL,Milan Fisera,,
TABL,Milan Flesar,,
TABL,Milan Regner,,
TABL,Milan Smrcek,,
TABL,Milan Urban,,
TABL,Milan Vrabec,,
