team,R,H,E,1,2,3,4,5,6,7,8,9,10,11,12,13,14,game_date,Outcome,home_away
Pittsburgh Pirates,7,9,0,0,0,0,0,2,0,5,0,0,,,,,,2023-07-19,Win,Home
Pittsburgh Pirates,1,5,1,0,0,0,0,0,1,0,0,0,,,,,,2023-07-18,Loss,Home
Pittsburgh Pirates,0,4,0,0,0,0,0,0,0,0,0,0,,,,,,2023-07-17,Loss,Home
Pittsburgh Pirates,4,8,1,0,1,0,0,0,1,0,1,0,1,,,,,2023-07-16,Loss,Home
Pittsburgh Pirates,1,7,1,0,1,0,0,0,0,0,0,0,,,,,,2023-07-15,Loss,Home
Pittsburgh Pirates,4,8,2,0,0,0,0,2,2,0,0,0,,,,,,2023-07-14,Loss,Home
Pittsburgh Pirates,4,6,2,0,2,0,0,1,0,0,0,1,,,,,,2023-07-09,Win,Away
Pittsburgh Pirates,2,4,1,0,0,0,0,0,1,0,0,0,1,,,,,2023-07-08,Loss,Away
Pittsburgh Pirates,3,6,2,0,0,0,0,1,0.0,0.0,2.0,0.0,,,,,,2023-07-07,Loss,Away
Pittsburgh Pirates,2,4,0,0,2,0,0,0,0.0,0.0,0.0,0.0,,,,,,2023-07-06,Loss,Away
Pittsburgh Pirates,4,9,0,1,0,0,3,0,0.0,0.0,0.0,0.0,,,,,,2023-07-05,Loss,Away
Pittsburgh Pirates,9,12,1,2,0,0,3,0,1.0,0.0,0.0,3.0,,,,,,2023-07-04,Win,Away
Pittsburgh Pirates,2,7,1,0,1,0,0,0,1.0,0.0,0.0,0.0,,,,,,2023-07-03,Loss,Away
Pittsburgh Pirates,3,7,2,0,2,0,0,0,0.0,0.0,1.0,0.0,,,,,,2023-07-02,Loss,Home
Pittsburgh Pirates,8,7,0,0,0,0,0,0,2.0,0.0,6.0,0.0,,,,,,2023-07-01,Loss,Home
Pittsburgh Pirates,8,11,0,0,0,0,3,0,0.0,1.0,1.0,3.0,,,,,,2023-06-30,Win,Home
Pittsburgh Pirates,5,10,0,0,0,0,1,0,1.0,3.0,0.0,0.0,,,,,,2023-06-29,Win,Home
Pittsburgh Pirates,7,9,0,2,0,0,0,0,0.0,5.0,0.0,0.0,,,,,,2023-06-28,Win,Home
Pittsburgh Pirates,9,16,0,0,3,2,1,0,2.0,1.0,0.0,0.0,,,,,,2023-06-27,Win,Home
Pittsburgh Pirates,0,5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,2023-06-25,Loss,Away
Pittsburgh Pirates,3,6,0,0,0,0,0,0,0.0,0.0,1.0,1.0,1.0,0.0,,,,2023-06-24,Loss,Away
Pittsburgh Pirates,3,7,1,0,0,0,0,0,0.0,0.0,0.0,3.0,,,,,,2023-06-23,Win,Away
Pittsburgh Pirates,4,5,0,0,0,0,2,0,0.0,0.0,2.0,0.0,,,,,,2023-06-22,Loss,Away
Pittsburgh Pirates,3,2,1,0,1,0,0,0,0.0,2.0,0.0,0.0,,,,,,2023-06-21,Loss,Home
Pittsburgh Pirates,0,5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,2023-06-20,Loss,Home
Pittsburgh Pirates,0,5,1,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,2023-06-19,Loss,Home
Pittsburgh Pirates,2,4,1,0,0,2,0,0,0.0,0.0,0.0,0.0,,,,,,2023-06-18,Loss,Away
Pittsburgh Pirates,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,2023-06-17,Loss,Away
Pittsburgh Pirates,4,4,1,0,1,0,0,0,1.0,2.0,0.0,0.0,,,,,,2023-06-16,Loss,Away
