game_id,game_description,game_type,game_link,game_status,game_sport,game_startTime,game_live,game_awayTeamFirst,game_denySameGame,game_teaserAllowed,game_competitionId,game_notes,game_numMarkets,game_lastModified,bovada_home_team,bovada_away_team,team_1_ml_odds,team_2_ml_odds,team_1_hcap,team_1_hcap_odds,team_2_hcap,team_2_hcap_odds,Over_line,Over_odds,Under_line,Under_odds,draw_ml_odds,cst_game_startTime,cst_game_date,cst_game_time,away_team_clean,home_team_clean,DC_Game_ID,Over - G1_line,Over - G1_odds,Under - G1_line,Under - G1_odds
12127093,Las Vegas Aces @ Dallas Wings,GAMEEVENT,/basketball/wnba/las-vegas-aces-dallas-wings-202307072000,O,BASK,2023-07-08 00:00:00,1,1,NO,1,8744998,,18,1688777447469,Dallas Wings,Las Vegas Aces,,,,,,,,,,,,2023-07-04 21:00:00-05:00,2023-07-07,07:00 PM,Dallas Wings,Las Vegas Aces,07072023-Dallas Wings-Las Vegas Aces,,,,
12127092,Phoenix Mercury @ Minnesota Lynx,GAMEEVENT,/basketball/wnba/phoenix-mercury-minnesota-lynx-202307072000,O,BASK,2023-07-08 00:00:00,1,1,NO,1,8744998,,18,1688777503478,Minnesota Lynx,Phoenix Mercury,,,,,,,,,,,,2023-07-04 21:00:00-05:00,2023-07-07,07:00 PM,Minnesota Lynx,Phoenix Mercury,07072023-Minnesota Lynx-Phoenix Mercury,,,,
12127096,Atlanta Dream @ Chicago Sky,GAMEEVENT,/basketball/wnba/atlanta-dream-chicago-sky-202307072000,O,BASK,2023-07-08 00:00:00,1,1,NO,1,8744998,,18,1688777496012,Chicago Sky,Atlanta Dream,,,,,,,,,,,,2023-07-04 21:00:00-05:00,2023-07-07,07:00 PM,Chicago Sky,Atlanta Dream,07072023-Chicago Sky-Atlanta Dream,,,,
12154863,Martin Sobisek vs Karel Brozik,GAMEEVENT,/table-tennis/czech-republic/liga-pro/martin-sobisek-karel-brozik-202307072100,U,TABL,2023-07-08 01:00:00,0,0,NO,1,9971644,,6,1688684283400,Martin Sobisek,Karel Brozik,-120.0,-120.0,,,,,76.5,-120.0,76.5,-120.0,,2023-07-04 22:00:00-05:00,2023-07-07,08:00 PM,Martin Sobisek,Karel Brozik,07072023-Martin Sobisek-Karel Brozik,,,,
12154885,Radim Pavelka vs Miroslav Svedik,GAMEEVENT,/table-tennis/czech-republic/liga-pro/radim-pavelka-miroslav-svedik-202307072130,U,TABL,2023-07-08 01:30:00,0,0,NO,1,9971644,,15,1688684283497,Radim Pavelka,Miroslav Svedik,+160,-230,5.5,-120,-5.5,-120,74.5,-120,74.5,-120,,2023-07-05 18:30:00-05:00,2023-7-7,08:30 PM,Radim Pavelka,,,,,,
11995434,New York Mets @ San Diego Padres,GAMEEVENT,/baseball/mlb/new-york-mets-san-diego-padres-202307072140,U,BASE,2023-07-08 01:40:00,0,1,NO,1,24736,,147,1688778958152,San Diego Padres,New York Mets,100,-121,1.5,-200,-1.5,+170,8.0,-105,8.0,-115,,2023-07-05 18:40:00-05:00,2023-7-7,08:40 PM,San Diego Padres,New York Mets,07072023-San Diego Padres-New York Mets,,,,
11995453,Pittsburgh Pirates @ Arizona Diamondbacks,GAMEEVENT,/baseball/mlb/pittsburgh-pirates-arizona-diamondbacks-202307072140,U,BASE,2023-07-08 01:40:00,0,1,NO,1,24736,,150,1688778948842,Arizona Diamondbacks,Pittsburgh Pirates,+178,-218,1.5,-120,-1.5,100,8.5,-105,8.5,-115,,2023-07-05 18:40:00-05:00,2023-7-7,08:40 PM,Arizona Diamondbacks,Pittsburgh Pirates,07072023-Arizona Diamondbacks-Pittsburgh Pirates,,,,
12154921,Martin Sobisek vs Robin Pacha,GAMEEVENT,/table-tennis/czech-republic/liga-pro/martin-sobisek-robin-pacha-202307072200,U,TABL,2023-07-08 02:00:00,0,0,NO,1,9971644,,15,1688684283684,Martin Sobisek,Robin Pacha,+120,-170,3.5,-125,-3.5,-115,75.5,-120,75.5,-120,,2023-07-05 19:00:00-05:00,2023-7-7,09:00 PM,Martin Sobisek,Robin Pacha,07072023-Martin Sobisek-Robin Pacha,,,,
12154899,Ales Hlawatschke vs Richard Krejci,GAMEEVENT,/table-tennis/czech-republic/liga-pro/ales-hlawatschke-richard-krejci-202307072200,U,TABL,2023-07-08 02:00:00,0,0,NO,1,9971644,,15,1688684283595,Ales Hlawatschke,Richard Krejci,-700,+400,-9.5,-120,9.5,-120,69.5,-120,69.5,-120,,2023-07-05 19:00:00-05:00,2023-7-7,09:00 PM,Ales Hlawatschke,Richard Krejci,07072023-Ales Hlawatschke-Richard Krejci,,,,
11995446,Los Angeles Angels @ Los Angeles Dodgers,GAMEEVENT,/baseball/mlb/los-angeles-angels-los-angeles-dodgers-202307072210,U,BASE,2023-07-08 02:10:00,0,1,NO,1,24736,,148,1688778958260,Los Angeles Dodgers,Los Angeles Angels,+145,-177,1.5,-135,-1.5,+115,9.0,100,9.0,-120,,2023-07-05 19:10:00-05:00,2023-7-7,09:10 PM,Los Angeles Dodgers,Los Angeles Angels,07072023-Los Angeles Dodgers-Los Angeles Angels,,,,
11995441,Colorado Rockies @ San Francisco Giants,GAMEEVENT,/baseball/mlb/colorado-rockies-san-francisco-giants-202307072215,U,BASE,2023-07-08 02:15:00,0,1,NO,1,24736,,106,1688778950537,San Francisco Giants,Colorado Rockies,+143,-174,1.5,-140,-1.5,+120,8.5,-115,8.5,-105,,2023-07-05 19:15:00-05:00,2023-7-7,09:15 PM,San Francisco Giants,Colorado Rockies,07072023-San Francisco Giants-Colorado Rockies,,,,
12155076,Miroslav Svedik vs Jaroslav Prokupek,GAMEEVENT,/table-tennis/czech-republic/liga-pro/miroslav-svedik-jaroslav-prokupek-202307072230,U,TABL,2023-07-08 02:30:00,0,0,NO,1,9971644,,15,1688684283776,Miroslav Svedik,Jaroslav Prokupek,-255,+175,-5.5,-120,5.5,-120,74.5,-120,74.5,-120,,2023-07-06 00:30:00-05:00,2023-7-7,09:30 PM,,Jaroslav Prokupek,,,,,
12155092,Ondrej Svacha vs Karel Brozik,GAMEEVENT,/table-tennis/czech-republic/liga-pro/ondrej-svacha-karel-brozik-202307072230,U,TABL,2023-07-08 02:30:00,0,0,NO,1,9971644,,4,1688684283808,Ondrej Svacha,Karel Brozik,-230,+160,,,,,,,,,,2023-07-06 00:30:00-05:00,2023-7-7,09:30 PM,Ondrej Svacha,Karel Brozik,07072023-Ondrej Svacha-Karel Brozik,,,,
12158151,Roman Laznicka vs Martin Cvecek,GAMEEVENT,/table-tennis/czech-republic/liga-pro/roman-laznicka-martin-cvecek-202307080200,U,TABL,2023-07-08 06:00:00,0,0,NO,1,9971644,,15,1688740959245,Roman Laznicka,Martin Cvecek,-205,+145,-4.5,-120,4.5,-120,75.5,-120,75.5,-120,,2023-07-06 19:00:00-05:00,2023-7-8,01:00 AM,Roman Laznicka,Martin Cvecek,07082023-Roman Laznicka-Martin Cvecek,,,,
12158167,Patrik Jokiel vs Lukas Frejvolt,GAMEEVENT,/table-tennis/czech-republic/liga-pro/patrik-jokiel-lukas-frejvolt-202307080200,U,TABL,2023-07-08 06:00:00,0,0,NO,1,9971644,,15,1688741090504,Patrik Jokiel,Lukas Frejvolt,-120,-120,0.5,-125,-0.5,-115,76.5,-120,76.5,-120,,2023-07-06 19:00:00-05:00,2023-7-8,01:00 AM,,,,,,,
12158132,Jakub Vrabec vs Jan Briska,GAMEEVENT,/table-tennis/czech-republic/liga-pro/jakub-vrabec-jan-briska-202307080200,U,TABL,2023-07-08 06:00:00,0,0,NO,1,9971644,,8,1688742494655,Jakub Vrabec,Jan Briska,-120,-120,0.5,-125,-0.5,-115,76.5,-120,76.5,-120,,2023-07-06 19:00:00-05:00,2023-7-8,01:00 AM,Jakub Vrabec,Jan Briska,07082023-Jakub Vrabec-Jan Briska,,,,
12158125,Jan Sucharda vs Frantisek Just,GAMEEVENT,/table-tennis/czech-republic/liga-pro/jan-sucharda-frantisek-just-202307080200,U,TABL,2023-07-08 06:00:00,0,0,NO,1,9971644,,15,1688740919079,Jan Sucharda,Frantisek Just,-205,+145,-4.5,-120,4.5,-120,75.5,-120,75.5,-120,,2023-07-06 19:00:00-05:00,2023-7-8,01:00 AM,Jan Sucharda,Frantisek Just,07082023-Jan Sucharda-Frantisek Just,,,,
12137105,T1 vs Gen.G,GAMEEVENT,/esports/league-of-legends/lck-summer/t1-gen-g-202307080200,U,ESPT,2023-07-08 06:00:00,0,0,NO,1,9373563,,6,1688789009715,T1,Gen.G,+600,-1200,1.5,+165,-1.5,-220,2.5,+200,2.5,-275,,2023-07-06 19:00:00-05:00,2023-7-8,01:00 AM,T1,Gen.G,07082023-T1-Gen.G,,,,
12158116,Patrik Pycha vs Jiri Zuzanek,GAMEEVENT,/table-tennis/czech-republic/liga-pro/patrik-pycha-jiri-zuzanek-202307080230,U,TABL,2023-07-08 06:30:00,0,0,NO,1,9971644,,15,1688741160963,Patrik Pycha,Jiri Zuzanek,-120,-120,0.5,-125,-0.5,-115,76.5,-120,76.5,-120,,2023-07-06 19:30:00-05:00,2023-7-8,01:30 AM,Patrik Pycha,Jiri Zuzanek,07082023-Patrik Pycha-Jiri Zuzanek,,,,
12158158,Vojtech Konvicka vs Svatoslav Stempen,GAMEEVENT,/table-tennis/czech-republic/liga-pro/vojtech-konvicka-svatoslav-stempen-202307080230,U,TABL,2023-07-08 06:30:00,0,0,NO,1,9971644,,15,1688740778687,Vojtech Konvicka,Svatoslav Stempen,+110,-155,2.5,-120,-2.5,-120,75.5,-120,75.5,-120,,2023-07-06 19:30:00-05:00,2023-7-8,01:30 AM,,Svatoslav Stempen,,,,,
12158136,Vladimir Postelt vs Frantisek Briza,GAMEEVENT,/table-tennis/czech-republic/liga-pro/vladimir-postelt-frantisek-briza-202307080230,U,TABL,2023-07-08 06:30:00,0,0,NO,1,9971644,,15,1688784374554,Vladimir Postelt,Frantisek Briza,-125,-115,-0.5,-120,0.5,-120,76.5,-120,76.5,-120,,2023-07-06 19:30:00-05:00,2023-7-8,01:30 AM,Vladimir Postelt,Frantisek Briza,07082023-Vladimir Postelt-Frantisek Briza,,,,
12158152,Milan Flesar vs Miloslav Dvorak,GAMEEVENT,/table-tennis/czech-republic/liga-pro/milan-flesar-miloslav-dvorak-202307080230,U,TABL,2023-07-08 06:30:00,0,0,NO,1,9971644,,15,1688740979438,Milan Flesar,Miloslav Dvorak,+195,-290,6.5,-120,-6.5,-120,74.5,-120,74.5,-120,,2023-07-06 19:30:00-05:00,2023-7-8,01:30 AM,Milan Flesar,Miloslav Dvorak,07082023-Milan Flesar-Miloslav Dvorak,,,,
12158153,Martin Cvecek vs Milan Flesar,GAMEEVENT,/table-tennis/czech-republic/liga-pro/martin-cvecek-milan-flesar-202307080300,U,TABL,2023-07-08 07:00:00,0,0,NO,1,9971644,,15,1688740939180,Martin Cvecek,Milan Flesar,-120,-120,0.5,-125,-0.5,-115,76.5,-120,76.5,-120,,2023-07-06 20:00:00-05:00,2023-7-8,02:00 AM,Martin Cvecek,Milan Flesar,07082023-Martin Cvecek-Milan Flesar,,,,
12158133,Jan Briska vs Vladimir Postelt,GAMEEVENT,/table-tennis/czech-republic/liga-pro/jan-briska-vladimir-postelt-202307080300,U,TABL,2023-07-08 07:00:00,0,0,NO,1,9971644,,8,1688742165659,Jan Briska,Vladimir Postelt,+135,-190,3.5,-120,-3.5,-120,75.5,-120,75.5,-120,,2023-07-06 20:00:00-05:00,2023-7-8,02:00 AM,Jan Briska,Vladimir Postelt,07082023-Jan Briska-Vladimir Postelt,,,,
12158118,Frantisek Just vs Patrik Pycha,GAMEEVENT,/table-tennis/czech-republic/liga-pro/frantisek-just-patrik-pycha-202307080300,U,TABL,2023-07-08 07:00:00,0,0,NO,1,9971644,,15,1688740788813,Frantisek Just,Patrik Pycha,+110,-155,2.5,-120,-2.5,-120,75.5,-120,75.5,-120,,2023-07-06 20:00:00-05:00,2023-7-8,02:00 AM,Frantisek Just,Patrik Pycha,07082023-Frantisek Just-Patrik Pycha,,,,
12158160,Lukas Frejvolt vs Vojtech Konvicka,GAMEEVENT,/table-tennis/czech-republic/liga-pro/lukas-frejvolt-vojtech-konvicka-202307080300,U,TABL,2023-07-08 07:00:00,0,0,NO,1,9971644,,15,1688740838897,Lukas Frejvolt,Vojtech Konvicka,-120,-120,0.5,-125,-0.5,-115,76.5,-120,76.5,-120,,2023-07-06 20:00:00-05:00,2023-7-8,02:00 AM,,,,,,,
12158163,Miloslav Dvorak vs Roman Laznicka,GAMEEVENT,/table-tennis/czech-republic/liga-pro/miloslav-dvorak-roman-laznicka-202307080330,U,TABL,2023-07-08 07:30:00,0,0,NO,1,9971644,,15,1688741029918,Miloslav Dvorak,Roman Laznicka,-120,-120,0.5,-125,-0.5,-115,76.5,-120,76.5,-120,,2023-07-06 20:30:00-05:00,2023-7-8,02:30 AM,Miloslav Dvorak,Roman Laznicka,07082023-Miloslav Dvorak-Roman Laznicka,,,,
12158119,Jiri Zuzanek vs Jan Sucharda,GAMEEVENT,/table-tennis/czech-republic/liga-pro/jiri-zuzanek-jan-sucharda-202307080330,U,TABL,2023-07-08 07:30:00,0,0,NO,1,9971644,,15,1688741080407,Jiri Zuzanek,Jan Sucharda,+135,-190,3.5,-120,-3.5,-120,75.5,-120,75.5,-120,,2023-07-06 20:30:00-05:00,2023-7-8,02:30 AM,Jiri Zuzanek,Jan Sucharda,07082023-Jiri Zuzanek-Jan Sucharda,,,,
12158161,Svatoslav Stempen vs Patrik Jokiel,GAMEEVENT,/table-tennis/czech-republic/liga-pro/svatoslav-stempen-patrik-jokiel-202307080330,U,TABL,2023-07-08 07:30:00,0,0,NO,1,9971644,,15,1688740758488,Svatoslav Stempen,Patrik Jokiel,-120,-120,0.5,-125,-0.5,-115,76.5,-120,76.5,-120,,2023-07-06 20:30:00-05:00,2023-7-8,02:30 AM,Svatoslav Stempen,,,,,,
12158143,Frantisek Briza vs Jakub Vrabec,GAMEEVENT,/table-tennis/czech-republic/liga-pro/frantisek-briza-jakub-vrabec-202307080330,U,TABL,2023-07-08 07:30:00,0,0,NO,1,9971644,,15,1688741211490,Frantisek Briza,Jakub Vrabec,-140,100,-1.5,-120,1.5,-120,76.5,-120,76.5,-120,,2023-07-06 20:30:00-05:00,2023-7-8,02:30 AM,Frantisek Briza,Jakub Vrabec,07082023-Frantisek Briza-Jakub Vrabec,,,,
12159781,Roman Laznicka vs Milan Flesar,GAMEEVENT,/table-tennis/czech-republic/liga-pro/roman-laznicka-milan-flesar-202307080400,U,TABL,2023-07-08 08:00:00,0,0,NO,1,9971644,,15,1688782615478,Roman Laznicka,Milan Flesar,-155,+110,-2.5,-120,2.5,-120,75.5,-120,75.5,-120,,2023-07-06 21:00:00-05:00,2023-7-8,03:00 AM,Roman Laznicka,Milan Flesar,07082023-Roman Laznicka-Milan Flesar,,,,
12158162,Patrik Jokiel vs Vojtech Konvicka,GAMEEVENT,/table-tennis/czech-republic/liga-pro/patrik-jokiel-vojtech-konvicka-202307080400,U,TABL,2023-07-08 08:00:00,0,0,NO,1,9971644,,12,1688740768565,Patrik Jokiel,Vojtech Konvicka,-170,+120,-3.5,-115,3.5,-125,,,,,,2023-07-06 21:00:00-05:00,2023-7-8,03:00 AM,,,,,,,
