team,sport
Jiri Motak,TABL
Jan Kabelka,TABL
Adolf Huttl,TABL
Petr Picek,TABL
Jakub Stolfa,TABL
Michal Vedmoch,TABL
Frantisek Blaha,TABL
Tomas Roh,TABL
Ladislav Havel,TABL
Matous Klimenta,TABL
Vladimir Kadlec,TABL
Tomas Varnuska,TABL
Ondrej Homola,TABL
Michal Cakovsky,TABL
Kyryl Darin,TABL
Hanwha Life Esports,ESPT
Jakub Hradecky,TABL
Pavel Fojt,TABL
Julius Lazar,TABL
Simon Kadavy,TABL
Michal Vavrecka,TABL
Bohumil Skulina,TABL
Josef Pelikan,TABL
Patrik Sturma,TABL
Liiv  Sandbox ,ESPT
Miroslav Malek,TABL
Petr Svec,TABL
Michal Raska,TABL
Kamil Hruda,TABL
Josef Palecek,TABL
Radek Milata,TABL
Miroslav Svedik,TABL
Jiri Strouhal,TABL
Lubomir Navrat,TABL
Michal Syroha,TABL
Jan Potensky,TABL
Marek Kostal,TABL
Vladimir Milata Jnr,TABL
KT Rolster,ESPT
Dplus KIA,ESPT
