game_id,game_description,game_type,game_link,game_status,game_sport,game_startTime,game_live,game_awayTeamFirst,game_denySameGame,game_teaserAllowed,game_competitionId,game_notes,game_numMarkets,game_lastModified,bovada_home_team,bovada_away_team,team_1_hcap,team_1_hcap_odds,team_2_hcap,team_2_hcap_odds,team_1_ml_odds,team_2_ml_odds,Over_line,Over_odds,Under_line,Under_odds,draw_ml_odds,cst_game_startTime,cst_game_date,cst_game_time,away_team_clean,home_team_clean,DC_Game_ID
11995434,New York Mets @ San Diego Padres,GAMEEVENT,/baseball/mlb/new-york-mets-san-diego-padres-202307072140,U,BASE,2023-07-08 01:40:00,False,True,NO,True,24736,,146,1688777334490,San Diego Padres,New York Mets,1.5,-200,-1.5,+170,100,-121,8.0,-105,8.0,-115,,2023-07-07 20:40:00-05:00,2023-07-07,08:40 PM,San Diego Padres,New York Mets,07072023-San Diego Padres-New York Mets
11995453,Pittsburgh Pirates @ Arizona Diamondbacks,GAMEEVENT,/baseball/mlb/pittsburgh-pirates-arizona-diamondbacks-202307072140,U,BASE,2023-07-08 01:40:00,False,True,NO,True,24736,,150,1688776799363,Arizona Diamondbacks,Pittsburgh Pirates,1.5,-120,-1.5,100,+178,-218,8.5,-105,8.5,-115,,2023-07-07 20:40:00-05:00,2023-07-07,08:40 PM,Arizona Diamondbacks,Pittsburgh Pirates,07072023-Arizona Diamondbacks-Pittsburgh Pirates
11995446,Los Angeles Angels @ Los Angeles Dodgers,GAMEEVENT,/baseball/mlb/los-angeles-angels-los-angeles-dodgers-202307072210,U,BASE,2023-07-08 02:10:00,False,True,NO,True,24736,,148,1688775922538,Los Angeles Dodgers,Los Angeles Angels,1.5,-135,-1.5,+115,+144,-175,9.0,100,9.0,-120,,2023-07-07 21:10:00-05:00,2023-07-07,09:10 PM,Los Angeles Dodgers,Los Angeles Angels,07072023-Los Angeles Dodgers-Los Angeles Angels
11995441,Colorado Rockies @ San Francisco Giants,GAMEEVENT,/baseball/mlb/colorado-rockies-san-francisco-giants-202307072215,U,BASE,2023-07-08 02:15:00,False,True,NO,True,24736,,106,1688776747457,San Francisco Giants,Colorado Rockies,1.5,-140,-1.5,+120,+144,-175,8.5,-110,8.5,-110,,2023-07-07 21:15:00-05:00,2023-07-07,09:15 PM,San Francisco Giants,Colorado Rockies,07072023-San Francisco Giants-Colorado Rockies
12069029,Burnley vs Manchester City,GAMEEVENT,/soccer/europe/england/premier-league/burnley-manchester-city-202308111500,U,SOCC,2023-08-11 19:00:00,False,False,NO,True,6673859,,82,1688672547452,Burnley,Manchester City,1.5,-112,-1.5,-108,+725,-315,3.0,+102,3.0,-122,+420,2023-08-11 14:00:00-05:00,2023-08-11,02:00 PM,Burnley,Manchester City,08112023-Burnley-Manchester City
12069039,Arsenal vs Nottingham Forest,GAMEEVENT,/soccer/europe/england/premier-league/arsenal-nottingham-forest-202308120730,U,SOCC,2023-08-12 11:30:00,False,False,NO,True,6673859,,82,1688717949342,Arsenal,Nottingham Forest,-1.5,-105,1.5,-115,-375,+800,3.0,-105,3.0,-115,+475,2023-08-12 06:30:00-05:00,2023-08-12,06:30 AM,Arsenal,Nottingham Forest,08122023-Arsenal-Nottingham Forest
12069048,Bournemouth vs West Ham United,GAMEEVENT,/soccer/europe/england/premier-league/bournemouth-west-ham-united-202308121000,U,SOCC,2023-08-12 14:00:00,False,False,NO,True,6673859,,83,1688730930443,Bournemouth,West Ham United,0.0,+105,0.0,-125,+180,+145,2.5,-108,2.5,-112,+230,2023-08-12 09:00:00-05:00,2023-08-12,09:00 AM,Bournemouth,West Ham United,08122023-Bournemouth-West Ham United
12069067,Brighton & Hove Albion vs Luton Town,GAMEEVENT,/soccer/europe/england/premier-league/brighton-hove-albion-luton-town-202308121000,U,SOCC,2023-08-12 14:00:00,False,False,NO,True,6673859,,82,1688672547455,Brighton & Hove Albion,Luton Town,-1.5,-105,1.5,-115,-315,+725,2.5,-115,2.5,-105,+420,2023-08-12 09:00:00-05:00,2023-08-12,09:00 AM,Brighton,Luton Town,08122023-Brighton-Luton Town
12069075,Everton vs Fulham,GAMEEVENT,/soccer/europe/england/premier-league/everton-fulham-202308121000,U,SOCC,2023-08-12 14:00:00,False,False,NO,True,6673859,,82,1688672547455,Everton,Fulham,0.0,-112,0.0,-108,+115,+220,2.5,100,2.5,-120,+240,2023-08-12 09:00:00-05:00,2023-08-12,09:00 AM,Everton,Fulham,08122023-Everton-Fulham
12069093,Sheffield United vs Crystal Palace,GAMEEVENT,/soccer/europe/england/premier-league/sheffield-united-crystal-palace-202308121000,U,SOCC,2023-08-12 14:00:00,False,False,NO,True,6673859,,83,1688672547454,Sheffield United,Crystal Palace,0.0,+111,0.0,-132,+190,+140,2.0,-115,2.0,-105,+220,2023-08-12 09:00:00-05:00,2023-08-12,09:00 AM,Sheffield United,Crystal Palace,08122023-Sheffield United-Crystal Palace
