game_id,game_description,game_type,game_link,game_status,game_sport,game_startTime,game_live,game_awayTeamFirst,game_denySameGame,game_teaserAllowed,game_competitionId,game_notes,game_numMarkets,game_lastModified,bovada_home_team,bovada_away_team,team_1_hcap,team_1_hcap_odds,team_2_hcap,team_2_hcap_odds,team_1_ml_odds,team_2_ml_odds,Over_line,Over_odds,Under_line,Under_odds,draw_ml_odds,cst_game_startTime,cst_game_date,cst_game_time,away_team_clean,home_team_clean,DC_Game_ID
12127092,Phoenix Mercury @ Minnesota Lynx,GAMEEVENT,/basketball/wnba/phoenix-mercury-minnesota-lynx-202307072000,O,BASK,7/8/2023 0:00,1,1,NO,1,8744998,,26,1688780000000.0,Minnesota Lynx,Phoenix Mercury,,,,,,,,,,,,2023-07-07 19:00:00-05:00,7/7/2023,7:00 PM,Minnesota Lynx,Phoenix Mercury,07072023-Minnesota Lynx-Phoenix Mercury
12127093,Las Vegas Aces @ Dallas Wings,GAMEEVENT,/basketball/wnba/las-vegas-aces-dallas-wings-202307072000,O,BASK,7/8/2023 0:00,1,1,NO,1,8744998,,26,1688780000000.0,Dallas Wings,Las Vegas Aces,,,,,,,,,,,,2023-07-07 19:00:00-05:00,7/7/2023,7:00 PM,Dallas Wings,Las Vegas Aces,07072023-Dallas Wings-Las Vegas Aces
12127096,Atlanta Dream @ Chicago Sky,GAMEEVENT,/basketball/wnba/atlanta-dream-chicago-sky-202307072000,O,BASK,7/8/2023 0:00,1,1,NO,1,8744998,,26,1688780000000.0,Chicago Sky,Atlanta Dream,,,,,,,,,,,,2023-07-07 19:00:00-05:00,7/7/2023,7:00 PM,Chicago Sky,Atlanta Dream,07072023-Chicago Sky-Atlanta Dream
12127092,Phoenix Mercury @ Minnesota Lynx,GAMEEVENT,/basketball/wnba/phoenix-mercury-minnesota-lynx-202307072000,O,BASK,2023-07-08 00:00:00,True,True,NO,True,8744998,,23,1688776776597.0,Minnesota Lynx,Phoenix Mercury,,,,,,,,,,,,2023-07-07 19:00:00-05:00,2023-07-07,07:00 PM,Minnesota Lynx,Phoenix Mercury,07072023-Minnesota Lynx-Phoenix Mercury
12127093,Las Vegas Aces @ Dallas Wings,GAMEEVENT,/basketball/wnba/las-vegas-aces-dallas-wings-202307072000,O,BASK,2023-07-08 00:00:00,True,True,NO,True,8744998,,23,1688776780611.0,Dallas Wings,Las Vegas Aces,,,,,,,,,,,,2023-07-07 19:00:00-05:00,2023-07-07,07:00 PM,Dallas Wings,Las Vegas Aces,07072023-Dallas Wings-Las Vegas Aces
12127096,Atlanta Dream @ Chicago Sky,GAMEEVENT,/basketball/wnba/atlanta-dream-chicago-sky-202307072000,O,BASK,2023-07-08 00:00:00,True,True,NO,True,8744998,,15,1688776778224.0,Chicago Sky,Atlanta Dream,,,,,,,,,,,,2023-07-07 19:00:00-05:00,2023-07-07,07:00 PM,Chicago Sky,Atlanta Dream,07072023-Chicago Sky-Atlanta Dream
12143817,Calgary Stampeders @ Winnipeg Blue Bombers,GAMEEVENT,/football/cfl/calgary-stampeders-winnipeg-blue-bombers-202307072030,O,FOOT,7/8/2023 0:30,1,1,NO,1,27619,,46,1688780000000.0,Winnipeg Blue Bombers,Calgary Stampeders,8.5,-110.0,-8.5,-110.0,295.0,-380.0,46.5,-110.0,46.5,-110.0,,2023-07-07 19:30:00-05:00,7/7/2023,7:30 PM,Winnipeg Blue Bombers,Calgary Stampeders,07072023-Winnipeg Blue Bombers-Calgary Stampeders
12154863,Martin Sobisek vs Karel Brozik,GAMEEVENT,/table-tennis/czech-republic/liga-pro/martin-sobisek-karel-brozik-202307072100,U,TABL,7/8/2023 1:00,0,0,NO,1,9971644,,6,1688680000000.0,Martin Sobisek,Karel Brozik,,,,,-120.0,-120.0,76.5,-120.0,76.5,-120.0,,2023-07-07 20:00:00-05:00,7/7/2023,8:00 PM,Martin Sobisek,Karel Brozik,07072023-Martin Sobisek-Karel Brozik
12154820,Ales Hlawatschke vs Jaroslav Prokupek,GAMEEVENT,/table-tennis/czech-republic/liga-pro/ales-hlawatschke-jaroslav-prokupek-202307072100,U,TABL,7/8/2023 1:00,0,0,NO,1,9971644,,15,1688680000000.0,Ales Hlawatschke,Jaroslav Prokupek,8.5,-115.0,-8.5,-125.0,325.0,-525.0,71.5,-120.0,71.5,-120.0,,2023-07-07 20:00:00-05:00,7/7/2023,8:00 PM,Ales Hlawatschke,Jaroslav Prokupek,07072023-Ales Hlawatschke-Jaroslav Prokupek
12154863,Martin Sobisek vs Karel Brozik,GAMEEVENT,/table-tennis/czech-republic/liga-pro/martin-sobisek-karel-brozik-202307072100,U,TABL,2023-07-08 01:00:00,False,False,NO,True,9971644,,6,1688684283400.0,Martin Sobisek,Karel Brozik,,,,,-120,-120,76.5,-120,76.5,-120,,2023-07-07 20:00:00-05:00,2023-07-07,08:00 PM,Martin Sobisek,Karel Brozik,07072023-Martin Sobisek-Karel Brozik
12154820,Ales Hlawatschke vs Jaroslav Prokupek,GAMEEVENT,/table-tennis/czech-republic/liga-pro/ales-hlawatschke-jaroslav-prokupek-202307072100,U,TABL,2023-07-08 01:00:00,False,False,NO,True,9971644,,15,1688684283357.0,Ales Hlawatschke,Jaroslav Prokupek,8.5,-115,-8.5,-125,+325,-525,71.5,-120,71.5,-120,,2023-07-07 20:00:00-05:00,2023-07-07,08:00 PM,Ales Hlawatschke,Jaroslav Prokupek,07072023-Ales Hlawatschke-Jaroslav Prokupek
