team
FIU
Massachusetts
Navy
Ohio
San Jose ST
Hawaii
UTEP
Kent ST
Nebraska
Florida
Louisville
Stanford
Miami OH
Middle Tennessee
Texas ST
Northern Illinois
Washington ST
Toledo
Ohio ST
Utah ST
Ball ST
Army West Point
East Carolina
South Carolina
California
West Virginia
Fresno ST
Louisiana Tech
Colorado
Virginia
Rice
New Mexico
South Alabama
Coastal Carolina
Old Dominion
Boise ST
Buffalo
Texas Tech
South Florida
Bowling Green
LSU
Oregon ST
Clemson
Texas
Texas A&M
Tennessee
Washington
CHI White Sox (G2)
LV Aces
NY Liberty
IND Fever
PHO Mercury
CHI Sky
WAS Mystics
BC Lions
HAM Tiger-Cats
OTT REDBLACKS
SSK Roughriders
MI Panthers
NO Breakers
BIR Stallions
PHI Stars
New Mexico ST
Notre Dame
San Diego ST
USC
Vanderbilt
Jacksonville ST
UCF
Minnesota
Utah
Georgia Tech
Miami FL
Alabama
Auburn
Baylor
Boston College
Colorado ST
Illinois
Indiana
Iowa
Kentucky
ULM
Michigan
North Carolina
North Texas
Penn ST
Purdue
SMU
TCU
Tulane
UCLA
Virginia Tech
Wisconsin
Wyoming
Western Kentucky
Liberty
Florida ST
Duke
Georgia Bulldogs
Michigan ST
Mississippi ST
NY Yankees (G2)
CON Sun
ATL Dream
MIN Lynx
DAL Wings
LA Sparks
SEA Storm
CGY Stampeders
WPG Blue Bombers
MTL Alouettes
EDM Elks
PIT Maulers
Memphis Showboats
HOU Gamblers
NJ Generals
